DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2008,ES,16516,ES51,1,282,1,1146.42186,1,1,1
2008,ES,16517,ES42,1,679,1,2253.39205,1,2,1
2008,ES,16520,ES53,1,231,1,929.67611,1,2,1
2008,ES,16523,ES21,1,719,1,775.19068,1,2,1
2008,ES,16530,ES12,1,1289,1,1836.85319,1,1,1
2008,ES,16531,ES53,1,187,1,198.56953,1,2,1
2008,ES,16534,ES21,1,711,1,560.09817,1,1,1
2008,ES,16536,ES41,1,1363,1,1356.25481,1,3,1
2008,ES,16538,ES23,1,854,1,190.02779,1,1,1
2008,ES,16541,ES21,1,1836,1,1550.52308,1,1,1
2008,ES,16542,ES22,1,1252,1,790.34623,1,1,1
2008,ES,16548,ES11,1,609,1,720.75764,1,2,1
2008,ES,16549,ES52,1,1770,1,505.11718,1,1,1
2008,ES,16552,ES41,1,769,1,566.85079,1,2,1
2008,ES,16564,ES52,1,59,1,1538.50613,1,3,1
2008,ES,16568,ES52,1,73,1,916.15027,1,1,1
2008,ES,16572,ES42,1,674,1,740.62563,1,3,1
2008,ES,16573,ES52,1,505,1,688.17467,1,1,1
2008,ES,16575,ES51,1,385,1,1065.17328,1,1,1
2008,ES,16577,ES21,1,1827,1,898.55671,1,1,1
2008,ES,16583,ES61,1,487,1,4561.25156,1,2,1
2008,ES,16587,ES24,1,1958,1,840.81223,1,1,1
2008,ES,16589,ES24,1,1962,1,773.27874,1,1,1
2008,ES,16593,ES61,1,1114,1,1472.79293,1,3,1
2008,ES,16595,ES30,1,1003,1,756.52405,1,1,1
2008,ES,16599,ES61,1,728,1,826.40140,1,2,1
2008,ES,16603,ES13,1,1527,1,446.16589,1,1,1
2008,ES,16606,ES43,1,166,1,642.26287,1,3,1
2008,ES,16610,ES24,1,1927,1,242.96268,1,1,1
2008,ES,16613,ES51,1,267,1,1345.65412,1,1,1
2008,ES,16614,ES62,1,1186,1,845.82949,1,2,1
2008,ES,16615,ES43,1,446,1,326.39635,1,3,1
2008,ES,16623,ES52,1,68,1,1434.07782,1,1,1
2008,ES,16626,ES24,1,1956,1,3711.43295,1,1,1
